Name,Year,Sex,Sire,Dam,Trainer,"Flat rating","Diff Flat","Flat Clltrl","AWT rating","Diff AWT","AWT Clltrl","Chase rating","Diff Chase","Chase Clltrl","Hurdle rating","Diff Hurdle","Hurdle Clltrl"
"A BIT IFFY (IRE)",2022,FILLY,"IFFRAAJ (GB)","UNTAPPED (GB)",,45,,,,,,,,,,,
"A BIT OF SPIRIT (IRE)",2023,COLT,"PALACE PIER (GB)","TANAAGHOM (IRE)",,107,,,,,,,,,,,
"A BOY NAMED MARY (IRE)",2023,GELDING,"SUPREMACY (IRE)","MARY BOLEYN (IRE)","Nigel Tinkler",55,,,,,,,,,,,
"A CHARA (GB)",2021,FILLY,"GENTLEWAVE (IRE)","CARA'S WAY (IRE)","Oliver Greenall & Josh Guerriero",,,,,,,,,,110,,
"A DAY IN BLOOM (IRE)",2022,FILLY,"ULYSSES (IRE)","KICKER ROCK (GB)",,43,,,,,,,,,,,
"A DEFINITE GETAWAY (IRE)",2018,GELDING,"GETAWAY (GER)","DEF IT VIC (IRE)","Mickey Bowen",,,,,,,113,,,,,
"A DIFFERENT KIND (IRE)",2017,GELDING,"DOYEN (IRE)","MA MINX (IRE)","Donald McCain",,,,,,,,,,115,,
"A GIRL NAMED IVY (IRE)",2021,FILLY,"DARK ANGEL (IRE)","MAY GIRL (GB)",,59,,,,,,,,,,,
"A GOOD YOMP (GB)",2019,GELDING,"CLOVIS DU BERLAIS (FR)","MEWSTONE (GB)","Andrew Martin",,,,,,,,,,93,,
"A GREAT EXCUSE (IRE)",2020,GELDING,"LUCKY SPEED (IRE)","BANJO FINN (IRE)","Max Comley",,,,,,,100,,,,,
"A JET OF OUR OWN (IRE)",2017,GELDING,"JET AWAY (GB)","SATALDA'S LADY (IRE)","Mrs N. Sheppard",,,,,,,115,,,,,
"A KING OF MAGIC (FR)",2021,GELDING,"DESINVOLTE (FR)","KISIS DE LA PREE (FR)",,,,,,,,,,,129,,
"A LADY FOREVER (GB)",2019,FILLY,"ADAAY (IRE)","LADY FILLY (GB)","Gary Harrison",43,,,,,,,,,,,
"A LITTLE SOMETHING (GB)",2019,FILLY,"DARTMOUTH (GB)","SOMETHINABOUTMOLLY (IRE)","Emma Lavelle",,,,,,,89,,,,,
"A LOTT OF KANE (IRE)",2023,GELDING,"COTAI GLORY (GB)","NORWEGIAN HIGHNESS (FR)","Chelsea Banham",50,,,,,,,,,,,
"A MAJOR PAYNE (GB)",2021,GELDING,"HARRY ANGEL (IRE)","THANKFUL (GB)","Michael Bell",75,,,,,,,,,,,
"A MERE BAGATELLE (IRE)",2017,GELDING,"BORN TO SEA (IRE)","PASSIONFORFASHION (IRE)","James Owen",55,,,,,,101,,,101,,
"A MOMENTS MADNESS (IRE)",2019,GELDING,"CONDUIT (IRE)","MISS SARENNE (FR)","Fergal O'Brien",,,,,,,121,,,,,
"A PAI DE NOM (GB)",2020,GELDING,"PASSING GLANCE (GB)","MIDNIGHT CATARIA (GB)","Dan Skelton",,,,,,,,,,134,,
"A PATH TO RONDA (IRE)",2020,FILLY,"GETAWAY (GER)","DUSTY TOO (GB)","Jamie Snowden",,,,,,,,,,125,,
"A PERFECT DAY (IRE)",2020,GELDING,"WESTERNER (GB)","WYNDHAM ROSE (IRE)","Ben Clarke",,,,,,,,,,123,,
"A PINT OF BEAR (IRE)",2018,GELDING,"KODI BEAR (IRE)","HEART OF AN ANGEL (GB)",,58,,,,,,,,,,,
"A ROSE ADAAY (GB)",2022,FILLY,"ADAAY (IRE)","LA DONACELLA (GB)","Grace Harris",52,,,,,,,,,,,
"A SWAN SONG (GB)",2022,FILLY,"SIR PERCY (GB)","DONA VIOLA (GB)",,60,,,,,,,,,,,
"A TASTE OF GLORY (GER)",2023,COLT,"SOLDIER HOLLOW (GB)","AOTHEA (GER)","Andrew Balding",84,,,,,,,,,,,
"A TICKATICKATIMING (GB)",2018,FILLY,"SIXTIES ICON (GB)","HI NOTE (GB)","Sheena West",52,,,,,,,,,92,,
"A WAR EAGLE (IRE)",2022,GELDING,"MAKE BELIEVE (GB)","ROHESIA (GB)","Michael & David Easterby",85,,,,,,,,,,,
"A'ALI G (GB)",2023,GELDING,"A'ALI (IRE)","COUSINS JOY (IRE)",,76,,,,,,,,,,,
"AAJEJ (GB)",2022,GELDING,"MASAR (IRE)","WEST WIND (GB)","Richard Phillips",80,,,,,,,,,,,
"AALTO (FR)",2020,GELDING,"ZELZAL (FR)","AU DESSUS (GB)","Ian Williams",89,,,,,,,,,,,
"ABA MAAJID (IRE)",2023,COLT,"KODI BEAR (IRE)","MISS KINARI (IRE)",,55,,,,,,,,,,,
"ABANDO (GER)",2022,COLT,"ADLERFLUG (GER)","AMALIE (GER)","Jamie Osborne",72,,,,,,,,,,,
"ABATE (GB)",2016,GELDING,"BATED BREATH (GB)","RED KYTE (GB)",,72,,,,,,,,,,,
"ABBEY HEIGHTS (GB)",2018,GELDING,"DARK ANGEL (IRE)","DUCISSA (GB)",,85,,,,,,,,,,,
"ABBEY LAW (GB)",2021,FILLY,"ROYAL APPLAUSE (GB)","BRUNTON BLUE (GB)","Lucy Wadham",,,,,,,,,,83,,
"ABBEY SCOPE (GB)",2020,GELDING,"TELESCOPE (IRE)","BROCKWELL ABBEY (GB)","Nicky Richards",,,,,,,,,,100,,
"ABDUCTION (FR)",2018,GELDING,"ACCLAMATION (GB)","PERFECT DAY (IRE)","Jim Goldie",76,,,,,,,,,,,
"ABERAMA GOLD (GB)",2017,GELDING,"HEERAAT (IRE)","NIGELLA (GB)","David O'Meara",80,,,,,,,,,,,
"ABILA (FR)",2022,FILLY,"CAMELOT (GB)","FAST GAME (FR)","Ian Williams",51,,,,,,,,,,,
